Id,Status,Claster,AverageCorrectness,TotalDays,NumOfUpdated,NumOfVotes
9572,merged,NotConsensus,0.643566,3.28347222222,5,5
9577,merged,AllCorrect,0.648768,0.412233796296,2,2
9578,merged,AllCorrect,0.447710,0.408252314815,1,1
9580,merged,AllInCorrect,0.847534,1.9478125,4,1
9582,merged,AllInCorrect,0.595081,17.4277546296,5,2
9587,merged,NotConsensus,0.855630,1.10239583333,3,2
9590,merged,AllCorrect,0.448187,1.96070601852,1,1
9591,merged,NotConsensus,0.676645,31.0297453704,18,6
9592,merged,AllCorrect,0.224331,0.321539351852,1,2
9593,abandoned,NotConsensus,0.521162,20.582962963,1,4
9596,merged,AllCorrect,1.000000,0.7540625,2,1
9598,abandoned,AllCorrect,0.588745,0.307476851852,1,1
9599,merged,AllCorrect,0.448751,0.0675347222222,1,1
9605,abandoned,AllCorrect,0.745104,0.943831018519,1,3
9606,merged,AllCorrect,0.682450,7.76523148148,2,5
9607,abandoned,NotConsensus,0.707363,15.4200694444,2,5
9608,merged,AllCorrect,0.448839,0.184664351852,1,1
9610,merged,AllCorrect,0.878924,0.946365740741,8,3
9612,merged,AllCorrect,0.449313,5.79483796296,4,2
9613,merged,AllCorrect,0.706422,0.678310185185,1,1
9615,merged,AllCorrect,0.586769,0.751597222222,2,2
9618,merged,AllCorrect,0.819872,12.9108333333,1,2
9620,abandoned,AllCorrect,0.840764,0.00309027777778,1,1
9621,merged,NotConsensus,0.719800,6.94421296296,5,2
9623,merged,AllInCorrect,0.792782,12.7095023148,8,1
9624,merged,AllCorrect,0.111111,1.64666666667,1,2
9625,merged,AllInCorrect,0.740398,6.57440972222,4,4
9630,merged,NotConsensus,0.685701,2.00443287037,3,6
9639,merged,AllCorrect,0.843750,0.0931712962963,1,1
9640,merged,AllCorrect,0.582749,1.10818287037,3,4
9641,abandoned,AllInCorrect,0.727273,2.08457175926,3,1
9642,merged,NotConsensus,0.837502,12.6463194444,2,3
9644,merged,AllInCorrect,0.873641,0.122118055556,2,1
9645,abandoned,NotConsensus,0.728490,8.84409722222,3,6
9655,merged,AllInCorrect,0.873813,0.224618055556,4,1
9657,merged,AllCorrect,0.355428,2.22744212963,1,3
9661,merged,NotConsensus,0.662206,2.18981481481,4,2
9662,merged,AllInCorrect,0.673163,16.1140625,3,2
9663,merged,AllCorrect,0.845679,0.0806481481481,1,1
9664,merged,NotConsensus,0.803744,0.089537037037,4,3
9665,abandoned,NotConsensus,0.736239,8.40545138889,2,6
9666,merged,NotConsensus,0.377975,41.8624884259,11,12
9668,merged,AllCorrect,0.564753,8.91762731481,6,3
9670,merged,NotConsensus,0.729240,4.82148148148,5,7
9673,merged,AllCorrect,0.448305,2.05155092593,1,1
9674,merged,AllCorrect,0.448772,3.23815972222,1,1
9675,merged,AllCorrect,0.449239,4.68944444444,2,2
9677,merged,AllCorrect,0.449324,1.03592592593,2,1
9680,merged,AllCorrect,0.533838,2.15439814815,1,2
9681,merged,AllCorrect,0.621223,0.963530092593,1,3
9684,merged,AllCorrect,0.450716,1.70163194444,1,1
9685,merged,AllCorrect,0.354545,1.71251157407,1,2
9686,merged,AllCorrect,0.803030,0.822881944444,1,1
9692,merged,NotConsensus,0.713007,7.19217592593,4,6
9693,merged,AllCorrect,0.706848,12.8223611111,1,4
9696,merged,AllCorrect,0.694202,0.936423611111,1,3
9698,merged,AllCorrect,0.625000,0.472777777778,1,1
9700,merged,AllCorrect,0.451640,0.851064814815,4,1
9701,merged,AllCorrect,0.619698,6.39710648148,2,3
9703,merged,AllCorrect,0.451342,1.62322916667,1,1
9704,merged,AllCorrect,0.451802,1.65542824074,1,1
9705,merged,AllCorrect,0.568970,1.6191087963,2,3
9707,abandoned,AllCorrect,0.803938,7.83513888889,3,3
9708,merged,AllInCorrect,0.500000,0.0484837962963,2,1
9710,merged,AllInCorrect,0.875000,12.312037037,2,0
9711,abandoned,NotConsensus,0.824170,19.7390625,1,3
9712,merged,AllCorrect,0.682528,18.1587847222,1,2
9713,abandoned,AllCorrect,0.619972,0.0515393518519,1,3
9715,merged,NotConsensus,0.707489,4.11414351852,6,7
